Sample,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Calditrichota,Campylobacterota,Chloroflexi,Cyanobacteria,Deinococcota,Desulfobacterota,Firmicutes,Fusobacteriota,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Synergistota,Verrucomicrobiota
821M02BM,0,2.4375617419755944,-1.6066987158490948,1.4717252735500095,0,0,0,-2.5760992730371983,-4.280847365275624,0,-2.4090451883740323,5.784482637998109,0,0,-2.8945530041557332,0,0,4.073473893167972,0,0,0
822M02BM,0,1.7936690541679399,-1.0102421392008827,2.283572481422678,0,-1.839521494085408,-1.1889339279442588,0,-1.9730528867099308,0,-0.8904409393882622,4.863666619155454,-1.9265328710750378,0,0,-1.839521494085408,-1.6502794944468797,4.961205212138205,0,0,-1.5835881199482076
823M03BM,-4.212997589552774,1.6247328576131652,0,2.001610508869417,-2.6035596771186738,0,0,0,-1.8151023167544036,0,0,5.936881181017254,0,0,0,-3.519850408992829,0,2.5882854449188457,0,0,0
825M02BM,0,0.7906907406252319,0,-0.12559999124892318,0,0,0,0,-2.5592133466493734,0,0,4.57236525255173,0,0,-3.9455077077692637,0,-4.456333331535254,5.72359838402585,0,0,0
DB01CPM02BM,0,1.8270464446299588,-1.7838714680142655,2.3562826302391295,0,0,0,-3.170165829134156,-1.9174028606387883,-2.7647007210259917,0,6.583225313902755,-2.7647007210259917,0,0,-1.5607279167000558,0,3.1950151277674097,0,0,0
DB01M03BM,0,3.498098799929795,-0.2700009450810166,3.7822485479740307,-2.5061409386669093,0,0,-1.6188377436660062,-1.1749063547300458,0.43453155770405427,-0.19643837790399932,5.571217503132963,-2.009704052353018,-3.758903907162277,-2.4371480671799577,0,-0.7263576604855695,5.294051393309982,-1.6486907068156875,-1.4316262015778598,-0.8013928464284836
DB02CP03BM,0,1.3416539623716135,-2.7479173210978294,3.43946639106949,-0.18296796363629309,0,0,-2.902068000925088,0,-3.595215181485033,0,5.954165555218073,0,-4.000680289593197,0,0,0,5.777952405797305,0,0,-3.0843895577190423
DB03M03BM,0,3.474356515378812,0.3887514654697952,3.5576996373681418,-2.698788357337319,0,-1.4795480808805945,-2.5556875136966455,-1.4795480808805945,0,0,5.431293340153411,-0.6387649015145849,0,-0.5723898325697121,-0.7419491377498151,-2.9611526218048096,5.6175306991209375,-3.317827565743542,-1.6802187763427456,-0.3437567889707305
DB04M02BM,0,-3.805667941053334,0,-1.7863303234432033,0,0,0,0,0,0,0,2.704590399469816,0,0,0,0,0,2.8874078650267228,0,0,0
DB05M03BM,0,3.3065205708775345,-0.39363230802089966,3.252636974278948,0,0,0,-2.650755026938188,-0.9767785933665163,0,-0.6358520063959228,5.250663463035762,0,-2.902069455219094,-2.014766260218191,0,-3.056220135046352,5.198091991717513,-2.014766260218191,0,-2.3630729544864066
DB06M03BM,0,3.4419483665701733,0,0.8803934454975808,0,0,0,0,-3.1582622108639313,0,-1.0181960473676606,6.897055473967635,-2.3473319946476026,0,0,0,-1.836506370881612,4.313100877323166,-2.9351186595497216,-3.1582622108639313,-1.0788206691840956
DB07M03BM,0,1.9054272498766682,0,-1.7696952186540553,0,0,0,0,0,0,0,4.7350802334415345,-4.614604602473462,0,0,0,0,4.869222564048766,0,-5.125430226239453,0
DB8M02BM,0,2.3944906864322464,0,0.14072193596075433,0,0,0,0,0,0,-3.7252571309659848,6.489394007674293,0,0,0,-4.41840431152593,-4.0129392034177656,3.131994015842385,0,0,0
WM022M02BM,0,4.315362832088917,-2.7831780820993037,2.5874599460283587,-2.446705845478091,0,-2.6008565253053493,-3.2940037058652942,-2.7831780820993037,0,0,6.9762543254415785,0.5702286357265027,0,0,-0.7550298348070186,0,3.507650042234297,0,-3.2940037058652942,0
WM023M02BM,0,2.7473998346278865,-2.240227701223241,1.9103489199786772,0,0,0,0,-2.6755457724810867,0,0,6.219012296931719,-1.8545652204112568,0,-3.127530896224144,0,0,4.339676892058062,-3.464003132845357,0,-1.8545652204112568
WM02M02BM,0,2.984047805518185,-1.880919249432151,1.6008904781986368,-3.5673182030023796,0,0,0,-2.0412618995073304,0,-2.874171022442434,5.662059797850941,0.3991929877098359,0,0,0,-2.343542771380264,2.061022076486963,0,0,0
WM03M02BM,0,2.128806588303707,-1.8030190444206187,2.176662609481342,0,0,-3.1152054333867873,0,-1.8030190444206187,0,0,6.008627330790652,-2.016593144718678,0,0,-1.7652787164377717,0,2.6851850797893384,0,0,-2.496166224980564
WM06M02BM,0,1.2587722228733513,0,0.057936865310747265,0,0,0,0,-5.45951603115396,0,0,3.6585993967797057,0,0,0,0,0,3.4756240458724976,0,0,-2.991416499682341
WM17M03BM,0,2.830028556165991,-2.0174339999750703,1.8850996794319599,-2.0456048769417667,0,-2.4654587225020306,0,-2.767739594374964,0,0,4.82962721033481,-1.182112330634582,0,0,-2.166965733946034,0,3.100559812441685,0,0,0
WM19M03BM,0,1.6675577395244172,0,1.4779621330929533,0,0,-1.694976596588222,0,-4.893649714138903,0,0,3.696375635927005,1.2790941801845896,0,0,-0.018452390937751417,0,3.849742356320551,-5.363653343384638,0,0
WM20M04BM,-4.117811373439555,0.3663204841714798,0,-3.019199084771446,0,0,0,0,0,0,0,2.776453315360083,0,0,0,0,0,3.994236658679437,0,0,0
WM21M04BM,-3.516804649243256,0.24071673759284362,0,-2.5294179956853706,0,0,0,0,0,0,0,2.31461468638783,0,0,0,0,0,3.4908912209479537,0,0,0
