"Metabolite","z6DDL","p","padj"
"Fatty_acids_and_conjugates_OR_Lineolic_acids_and_derivatives_Classy",-0.000209589680566273,0.998282335677869,0.998282335677869
"Fatty_acyl_glycosides_Classy",-0.151495304979089,0.106050788086824,0.853427351672921
"Fatty_acyl_glycosides_of_mono__and_disaccharides_Classy",0.447552447552448,0.144586301303347,0.853427351672921
"Fatty_Acyls_Classy",-0.0929929771956127,0.322913522523962,0.993358457441224
"Fatty_Acyls_OR_Glycerolipids_Classy",-0.078646598558103,0.409793079535298,0.993358457441224
"Fatty_Acyls_OR_Organooxygen_compounds_Classy",-0.0507042253521127,0.67453793816702,0.993358457441224
"Fatty_alcohols_Classy",0.0540755937820563,0.565980393084283,0.993358457441224
"Fatty_alcohols_OR_Monoradylglycerols_Classy",-0.078646598558103,0.409793079535298,0.993358457441224
"Fatty_amides_Classy",0.0552197585417817,0.557778462383997,0.993358457441224
"Flavanones_Classy",0.027972027972028,0.931234351201881,0.993358457441224
"Flavans_Classy",0.027972027972028,0.931234351201881,0.993358457441224
"Flavins_Classy",0.134824142422927,0.360901917129368,0.993358457441224
"Flavonoid_glycosides_Classy",-0.0669565217391304,0.755909520377636,0.993358457441224
"Flavonoid_O_glycosides_Classy",-0.0669565217391304,0.755909520377636,0.993358457441224
"Flavonoids_Classy",-0.00766129032258064,0.967372552180887,0.998282335677869
"Furanoid_lignans_Classy",-0.0275008775008775,0.774484431142436,0.993358457441224
"Furofuran_lignans_Classy",-0.0275008775008775,0.774484431142436,0.993358457441224
"Glycerol_ethers_Classy",0.151648351648352,0.604790598452137,0.993358457441224
"Glycerolipids_Classy",-0.0439201451905626,0.641164794043519,0.993358457441224
"Glycerolipids_OR_Prenol_lipids_Classy",0.0516882516188714,0.730060091118333,0.993358457441224
"Glycerophosphates_Classy",-0.0047555243157756,0.961975618960941,0.998282335677869
"Glycerophosphocholines_Classy",-0.040684920697546,0.665952381929981,0.993358457441224
"Glycerophosphoethanolamines_Classy",0.0221665695981363,0.825851378274111,0.993358457441224
"Glycerophospholipids_Classy",-0.0359898997869486,0.702568023977876,0.993358457441224
"Glycerophospholipids_OR_Phenol_ethers_OR_Steroids_and_steroid_derivatives_Classy",-0.0274441726505168,0.770939873955055,0.993358457441224
"Glycerophosphoserines_Classy",-0.00867840317381602,0.928301692404785,0.993358457441224
"Glycosyl_compounds_Classy",0.0658723269943975,0.484273808862543,0.993358457441224
"Glycosylglycerols_Classy",-0.081059204440333,0.588064803413487,0.993358457441224
"Guanidines_Classy",-0.438235294117647,0.0895300319918801,0.853427351672921
"Halopyrimidines_Classy",-0.00488604913383674,0.959222497854435,0.998282335677869
"Heteroaromatic_compounds_Classy",0.145353886235345,0.324258834252706,0.993358457441224
"Hydrolyzable_tannins_Classy",-0.196428571428571,0.482898756271633,0.993358457441224
"Hydroquinolones_Classy",-0.0681030488369938,0.481658841572338,0.993358457441224
"Hydroxy_acids_and_derivatives_Classy",0.177740077329756,0.057382160366664,0.853427351672921
"Hydroxy_bile_acids__alcohols_and_derivatives_Classy",0.115461624026696,0.543469451015461,0.993358457441224
"Hydroxyeicosatrienoic_acids_Classy",0.118271342071994,0.212160379325736,0.993358457441224
"Hydroxysteroids_Classy",0.017134649244741,0.859632848510758,0.993358457441224
"Imidazoles_Classy",0.198529411764706,0.444950543678809,0.993358457441224
"Imidazopyrimidines_Classy",-0.0343951534102013,0.754656828782365,0.993358457441224
