Assay,Well,Strain,Treatment,Replicate,Time,OD
240219,D4,Rothia 1,LSTc,1,5,0.047
240219,D4,Rothia 1,LSTc,1,5.5,0.051
240219,D4,Rothia 1,LSTc,1,6,0.054
240219,D4,Rothia 1,LSTc,1,6.5,0.061
240219,D4,Rothia 1,LSTc,1,7,0.063
240219,D4,Rothia 1,LSTc,1,7.5,0.069
240219,D4,Rothia 1,LSTc,1,8,0.076
240219,D4,Rothia 1,LSTc,1,8.5,0.079
240219,D4,Rothia 1,LSTc,1,9,0.083
240219,D4,Rothia 1,LSTc,1,9.5,0.087
240219,D4,Rothia 1,LSTc,1,10,0.09
240219,D4,Rothia 1,LSTc,1,10.5,0.092
240219,D4,Rothia 1,LSTc,1,11,0.093
240219,D4,Rothia 1,LSTc,1,11.5,0.094
240219,D4,Rothia 1,LSTc,1,12,0.095
240219,D4,Rothia 1,LSTc,1,12.5,0.095
240219,D4,Rothia 1,LSTc,1,13,0.095
240219,D4,Rothia 1,LSTc,1,13.5,0.096
240219,D4,Rothia 1,LSTc,1,14,0.097
240219,D4,Rothia 1,LSTc,1,14.5,0.097
240219,D4,Rothia 1,LSTc,1,15,0.096
240219,D4,Rothia 1,LSTc,1,15.5,0.096
240219,D4,Rothia 1,LSTc,1,16,0.095
240219,D4,Rothia 1,LSTc,1,16.5,0.095
240219,D4,Rothia 1,LSTc,1,17,0.094
240219,D4,Rothia 1,LSTc,1,17.5,0.094
240219,D4,Rothia 1,LSTc,1,18,0.094
240219,D4,Rothia 1,LSTc,1,18.5,0.093
240219,D4,Rothia 1,LSTc,1,19,0.093
240219,D4,Rothia 1,LSTc,1,19.5,0.092
240219,D4,Rothia 1,LSTc,1,20,0.093
240219,D4,Rothia 1,LSTc,1,20.5,0.093
240219,D4,Rothia 1,LSTc,1,21,0.093
240219,D4,Rothia 1,LSTc,1,21.5,0.093
240219,D4,Rothia 1,LSTc,1,22,0.095
240219,D4,Rothia 1,LSTc,1,22.5,0.096
240219,D4,Rothia 1,LSTc,1,23,0.098
240219,D4,Rothia 1,LSTc,1,23.5,0.098
240219,D4,Rothia 1,LSTc,1,24,0.101
240219,D5,Rothia 1,LSTc,2,0,0
240219,D5,Rothia 1,LSTc,2,0.5,0.002
240219,D5,Rothia 1,LSTc,2,1,0.005
240219,D5,Rothia 1,LSTc,2,1.5,0.009
240219,D5,Rothia 1,LSTc,2,2,0.014
240219,D5,Rothia 1,LSTc,2,2.5,0.021
240219,D5,Rothia 1,LSTc,2,3,0.027
240219,D5,Rothia 1,LSTc,2,3.5,0.032
240219,D5,Rothia 1,LSTc,2,4,0.036
240219,D5,Rothia 1,LSTc,2,4.5,0.041
240219,D5,Rothia 1,LSTc,2,5,0.045
240219,D5,Rothia 1,LSTc,2,5.5,0.049
240219,D5,Rothia 1,LSTc,2,6,0.052
240219,D5,Rothia 1,LSTc,2,6.5,0.055
240219,D5,Rothia 1,LSTc,2,7,0.058
240219,D5,Rothia 1,LSTc,2,7.5,0.063
240219,D5,Rothia 1,LSTc,2,8,0.067
240219,D5,Rothia 1,LSTc,2,8.5,0.072
240219,D5,Rothia 1,LSTc,2,9,0.076
240219,D5,Rothia 1,LSTc,2,9.5,0.08
240219,D5,Rothia 1,LSTc,2,10,0.083
240219,D5,Rothia 1,LSTc,2,10.5,0.086
240219,D5,Rothia 1,LSTc,2,11,0.088
240219,D5,Rothia 1,LSTc,2,11.5,0.09
240219,D5,Rothia 1,LSTc,2,12,0.093
240219,D5,Rothia 1,LSTc,2,12.5,0.094
240219,D5,Rothia 1,LSTc,2,13,0.095
240219,D5,Rothia 1,LSTc,2,13.5,0.096
240219,D5,Rothia 1,LSTc,2,14,0.097
240219,D5,Rothia 1,LSTc,2,14.5,0.097
240219,D5,Rothia 1,LSTc,2,15,0.098
240219,D5,Rothia 1,LSTc,2,15.5,0.098
240219,D5,Rothia 1,LSTc,2,16,0.099
240219,D5,Rothia 1,LSTc,2,16.5,0.099
240219,D5,Rothia 1,LSTc,2,17,0.101
240219,D5,Rothia 1,LSTc,2,17.5,0.102
240219,D5,Rothia 1,LSTc,2,18,0.102
240219,D5,Rothia 1,LSTc,2,18.5,0.103
240219,D5,Rothia 1,LSTc,2,19,0.103
240219,D5,Rothia 1,LSTc,2,19.5,0.104
240219,D5,Rothia 1,LSTc,2,20,0.105
240219,D5,Rothia 1,LSTc,2,20.5,0.105
240219,D5,Rothia 1,LSTc,2,21,0.106
240219,D5,Rothia 1,LSTc,2,21.5,0.108
240219,D5,Rothia 1,LSTc,2,22,0.109
240219,D5,Rothia 1,LSTc,2,22.5,0.11
240219,D5,Rothia 1,LSTc,2,23,0.111
240219,D5,Rothia 1,LSTc,2,23.5,0.112
240219,D5,Rothia 1,LSTc,2,24,0.113
240219,D6,Rothia 1,LSTc,3,0,0
240219,D6,Rothia 1,LSTc,3,0.5,0.002
240219,D6,Rothia 1,LSTc,3,1,0.006
240219,D6,Rothia 1,LSTc,3,1.5,0.01
240219,D6,Rothia 1,LSTc,3,2,0.016
240219,D6,Rothia 1,LSTc,3,2.5,0.022
240219,D6,Rothia 1,LSTc,3,3,0.029
240219,D6,Rothia 1,LSTc,3,3.5,0.034
240219,D6,Rothia 1,LSTc,3,4,0.039
240219,D6,Rothia 1,LSTc,3,4.5,0.044
240219,D6,Rothia 1,LSTc,3,5,0.047
240219,D6,Rothia 1,LSTc,3,5.5,0.052
240219,D6,Rothia 1,LSTc,3,6,0.055
240219,D6,Rothia 1,LSTc,3,6.5,0.062
240219,D6,Rothia 1,LSTc,3,7,0.066
240219,D6,Rothia 1,LSTc,3,7.5,0.07
240219,D6,Rothia 1,LSTc,3,8,0.076
240219,D6,Rothia 1,LSTc,3,8.5,0.081
240219,D6,Rothia 1,LSTc,3,9,0.085
240219,D6,Rothia 1,LSTc,3,9.5,0.089
240219,D6,Rothia 1,LSTc,3,10,0.092
240219,D6,Rothia 1,LSTc,3,10.5,0.095
240219,D6,Rothia 1,LSTc,3,11,0.097
240219,D6,Rothia 1,LSTc,3,11.5,0.099
240219,D6,Rothia 1,LSTc,3,12,0.1
240219,D6,Rothia 1,LSTc,3,12.5,0.103
240219,D6,Rothia 1,LSTc,3,13,0.104
240219,D6,Rothia 1,LSTc,3,13.5,0.104
240219,D6,Rothia 1,LSTc,3,14,0.106
240219,D6,Rothia 1,LSTc,3,14.5,0.107
240219,D6,Rothia 1,LSTc,3,15,0.107
240219,D6,Rothia 1,LSTc,3,15.5,0.109
240219,D6,Rothia 1,LSTc,3,16,0.11
240219,D6,Rothia 1,LSTc,3,16.5,0.111
240219,D6,Rothia 1,LSTc,3,17,0.111
240219,D6,Rothia 1,LSTc,3,17.5,0.112
240219,D6,Rothia 1,LSTc,3,18,0.113
240219,D6,Rothia 1,LSTc,3,18.5,0.113
240219,D6,Rothia 1,LSTc,3,19,0.114
240219,D6,Rothia 1,LSTc,3,19.5,0.114
240219,D6,Rothia 1,LSTc,3,20,0.115
240219,D6,Rothia 1,LSTc,3,20.5,0.115
240219,D6,Rothia 1,LSTc,3,21,0.116
240219,D6,Rothia 1,LSTc,3,21.5,0.117
240219,D6,Rothia 1,LSTc,3,22,0.116
240219,D6,Rothia 1,LSTc,3,22.5,0.117
240219,D6,Rothia 1,LSTc,3,23,0.117
240219,D6,Rothia 1,LSTc,3,23.5,0.118
240219,D6,Rothia 1,LSTc,3,24,0.118
240219,D7,Rothia 2,LSTc,1,0,0
240219,D7,Rothia 2,LSTc,1,0.5,0.001
240219,D7,Rothia 2,LSTc,1,1,0.004
240219,D7,Rothia 2,LSTc,1,1.5,0.008
240219,D7,Rothia 2,LSTc,1,2,0.012
240219,D7,Rothia 2,LSTc,1,2.5,0.018
240219,D7,Rothia 2,LSTc,1,3,0.024
240219,D7,Rothia 2,LSTc,1,3.5,0.028
240219,D7,Rothia 2,LSTc,1,4,0.033
240219,D7,Rothia 2,LSTc,1,4.5,0.039
240219,D7,Rothia 2,LSTc,1,5,0.042
240219,D7,Rothia 2,LSTc,1,5.5,0.047
240219,D7,Rothia 2,LSTc,1,6,0.05
240219,D7,Rothia 2,LSTc,1,6.5,0.053
240219,D7,Rothia 2,LSTc,1,7,0.055
240219,D7,Rothia 2,LSTc,1,7.5,0.061
240219,D7,Rothia 2,LSTc,1,8,0.064
240219,D7,Rothia 2,LSTc,1,8.5,0.068
240219,D7,Rothia 2,LSTc,1,9,0.07
240219,D7,Rothia 2,LSTc,1,9.5,0.074
240219,D7,Rothia 2,LSTc,1,10,0.075
240219,D7,Rothia 2,LSTc,1,10.5,0.077
240219,D7,Rothia 2,LSTc,1,11,0.08
240219,D7,Rothia 2,LSTc,1,11.5,0.082
240219,D7,Rothia 2,LSTc,1,12,0.084
240219,D7,Rothia 2,LSTc,1,12.5,0.086
240219,D7,Rothia 2,LSTc,1,13,0.088
240219,D7,Rothia 2,LSTc,1,13.5,0.09
240219,D7,Rothia 2,LSTc,1,14,0.092
240219,D7,Rothia 2,LSTc,1,14.5,0.094
240219,D7,Rothia 2,LSTc,1,15,0.095
240219,D7,Rothia 2,LSTc,1,15.5,0.096
240219,D7,Rothia 2,LSTc,1,16,0.097
240219,D7,Rothia 2,LSTc,1,16.5,0.099
240219,D7,Rothia 2,LSTc,1,17,0.099
240219,D7,Rothia 2,LSTc,1,17.5,0.1
240219,D7,Rothia 2,LSTc,1,18,0.101
240219,D7,Rothia 2,LSTc,1,18.5,0.102
240219,D7,Rothia 2,LSTc,1,19,0.102
240219,D7,Rothia 2,LSTc,1,19.5,0.103
240219,D7,Rothia 2,LSTc,1,20,0.104
240219,D7,Rothia 2,LSTc,1,20.5,0.104
240219,D7,Rothia 2,LSTc,1,21,0.105
240219,D7,Rothia 2,LSTc,1,21.5,0.106
240219,D7,Rothia 2,LSTc,1,22,0.106
240219,D7,Rothia 2,LSTc,1,22.5,0.106
240219,D7,Rothia 2,LSTc,1,23,0.107
240219,D7,Rothia 2,LSTc,1,23.5,0.107
240219,D7,Rothia 2,LSTc,1,24,0.108
240219,D8,Rothia 2,LSTc,2,0,0
240219,D8,Rothia 2,LSTc,2,0.5,0.021
240219,D8,Rothia 2,LSTc,2,1,0.049
240219,D8,Rothia 2,LSTc,2,1.5,0.055
240219,D8,Rothia 2,LSTc,2,2,0.061
240219,D8,Rothia 2,LSTc,2,2.5,0.066
240219,D8,Rothia 2,LSTc,2,3,0.066
240219,D8,Rothia 2,LSTc,2,3.5,0.067
240219,D8,Rothia 2,LSTc,2,4,0.069
240219,D8,Rothia 2,LSTc,2,4.5,0.069
240219,D8,Rothia 2,LSTc,2,5,0.068
240219,D8,Rothia 2,LSTc,2,5.5,0.071
240219,D8,Rothia 2,LSTc,2,6,0.073
240219,D8,Rothia 2,LSTc,2,6.5,0.072
240219,D8,Rothia 2,LSTc,2,7,0.074
240219,D8,Rothia 2,LSTc,2,7.5,0.075
240219,D8,Rothia 2,LSTc,2,8,0.079
240219,D8,Rothia 2,LSTc,2,8.5,0.083
240219,D8,Rothia 2,LSTc,2,9,0.085
240219,D8,Rothia 2,LSTc,2,9.5,0.087
240219,D8,Rothia 2,LSTc,2,10,0.088
240219,D8,Rothia 2,LSTc,2,10.5,0.092
240219,D8,Rothia 2,LSTc,2,11,0.093
240219,D8,Rothia 2,LSTc,2,11.5,0.094
240219,D8,Rothia 2,LSTc,2,12,0.095
240219,D8,Rothia 2,LSTc,2,12.5,0.097
240219,D8,Rothia 2,LSTc,2,13,0.098
240219,D8,Rothia 2,LSTc,2,13.5,0.099
240219,D8,Rothia 2,LSTc,2,14,0.101
240219,D8,Rothia 2,LSTc,2,14.5,0.102
240219,D8,Rothia 2,LSTc,2,15,0.103
240219,D8,Rothia 2,LSTc,2,15.5,0.105
240219,D8,Rothia 2,LSTc,2,16,0.108
240219,D8,Rothia 2,LSTc,2,16.5,0.11
240219,D8,Rothia 2,LSTc,2,17,0.111
240219,D8,Rothia 2,LSTc,2,17.5,0.113
240219,D8,Rothia 2,LSTc,2,18,0.115
240219,D8,Rothia 2,LSTc,2,18.5,0.117
240219,D8,Rothia 2,LSTc,2,19,0.117
240219,D8,Rothia 2,LSTc,2,19.5,0.119
240219,D8,Rothia 2,LSTc,2,20,0.121
240219,D8,Rothia 2,LSTc,2,20.5,0.121
240219,D8,Rothia 2,LSTc,2,21,0.123
240219,D8,Rothia 2,LSTc,2,21.5,0.124
240219,D8,Rothia 2,LSTc,2,22,0.125
240219,D8,Rothia 2,LSTc,2,22.5,0.126
240219,D8,Rothia 2,LSTc,2,23,0.126
240219,D8,Rothia 2,LSTc,2,23.5,0.126
240219,D8,Rothia 2,LSTc,2,24,0.128
240219,D9,Rothia 2,LSTc,3,0,0
240219,D9,Rothia 2,LSTc,3,0.5,0.001
240219,D9,Rothia 2,LSTc,3,1,0.004
240219,D9,Rothia 2,LSTc,3,1.5,0.008
240219,D9,Rothia 2,LSTc,3,2,0.012
240219,D9,Rothia 2,LSTc,3,2.5,0.018
240219,D9,Rothia 2,LSTc,3,3,0.023
240219,D9,Rothia 2,LSTc,3,3.5,0.027
240219,D9,Rothia 2,LSTc,3,4,0.032
240219,D9,Rothia 2,LSTc,3,4.5,0.037
240219,D9,Rothia 2,LSTc,3,5,0.04
240219,D9,Rothia 2,LSTc,3,5.5,0.043
240219,D9,Rothia 2,LSTc,3,6,0.046
240219,D9,Rothia 2,LSTc,3,6.5,0.048
240219,D9,Rothia 2,LSTc,3,7,0.051
240219,D9,Rothia 2,LSTc,3,7.5,0.056
240219,D9,Rothia 2,LSTc,3,8,0.057
240219,D9,Rothia 2,LSTc,3,8.5,0.061
240219,D9,Rothia 2,LSTc,3,9,0.062
240219,D9,Rothia 2,LSTc,3,9.5,0.064
240219,D9,Rothia 2,LSTc,3,10,0.067
240219,D9,Rothia 2,LSTc,3,10.5,0.071
240219,D9,Rothia 2,LSTc,3,11,0.073
240219,D9,Rothia 2,LSTc,3,11.5,0.075
240219,D9,Rothia 2,LSTc,3,12,0.077
240219,D9,Rothia 2,LSTc,3,12.5,0.08
240219,D9,Rothia 2,LSTc,3,13,0.081
240219,D9,Rothia 2,LSTc,3,13.5,0.083
240219,D9,Rothia 2,LSTc,3,14,0.085
240219,D9,Rothia 2,LSTc,3,14.5,0.085
240219,D9,Rothia 2,LSTc,3,15,0.086
240219,D9,Rothia 2,LSTc,3,15.5,0.087
240219,D9,Rothia 2,LSTc,3,16,0.088
240219,D9,Rothia 2,LSTc,3,16.5,0.09
240219,D9,Rothia 2,LSTc,3,17,0.09
240219,D9,Rothia 2,LSTc,3,17.5,0.091
240219,D9,Rothia 2,LSTc,3,18,0.093
240219,D9,Rothia 2,LSTc,3,18.5,0.093
240219,D9,Rothia 2,LSTc,3,19,0.094
240219,D9,Rothia 2,LSTc,3,19.5,0.096
240219,D9,Rothia 2,LSTc,3,20,0.097
240219,D9,Rothia 2,LSTc,3,20.5,0.098
240219,D9,Rothia 2,LSTc,3,21,0.098
240219,D9,Rothia 2,LSTc,3,21.5,0.1
240219,D9,Rothia 2,LSTc,3,22,0.1
240219,D9,Rothia 2,LSTc,3,22.5,0.101
240219,D9,Rothia 2,LSTc,3,23,0.102
240219,D9,Rothia 2,LSTc,3,23.5,0.103
240219,D9,Rothia 2,LSTc,3,24,0.104
240228,A4,Rothia 3,No treatment,1,0,0
240228,A4,Rothia 3,No treatment,1,0.5,0.001
240228,A4,Rothia 3,No treatment,1,1,0.007
240228,A4,Rothia 3,No treatment,1,1.5,0.013
240228,A4,Rothia 3,No treatment,1,2,0.019
240228,A4,Rothia 3,No treatment,1,2.5,0.026
240228,A4,Rothia 3,No treatment,1,3,0.032
240228,A4,Rothia 3,No treatment,1,3.5,0.037
240228,A4,Rothia 3,No treatment,1,4,0.042
240228,A4,Rothia 3,No treatment,1,4.5,0.046
240228,A4,Rothia 3,No treatment,1,5,0.05
240228,A4,Rothia 3,No treatment,1,5.5,0.053
240228,A4,Rothia 3,No treatment,1,6,0.056
240228,A4,Rothia 3,No treatment,1,6.5,0.059
240228,A4,Rothia 3,No treatment,1,7,0.064
240228,A4,Rothia 3,No treatment,1,7.5,0.068
240228,A4,Rothia 3,No treatment,1,8,0.073
240228,A4,Rothia 3,No treatment,1,8.5,0.077
240228,A4,Rothia 3,No treatment,1,9,0.08
240228,A4,Rothia 3,No treatment,1,9.5,0.083
240228,A4,Rothia 3,No treatment,1,10,0.086
240228,A4,Rothia 3,No treatment,1,10.5,0.089
240228,A4,Rothia 3,No treatment,1,11,0.091
240228,A4,Rothia 3,No treatment,1,11.5,0.094
240228,A4,Rothia 3,No treatment,1,12,0.096
240228,A4,Rothia 3,No treatment,1,12.5,0.098
240228,A4,Rothia 3,No treatment,1,13,0.1
240228,A4,Rothia 3,No treatment,1,13.5,0.102
240228,A4,Rothia 3,No treatment,1,14,0.104
240228,A4,Rothia 3,No treatment,1,14.5,0.105
240228,A4,Rothia 3,No treatment,1,15,0.107
240228,A4,Rothia 3,No treatment,1,15.5,0.108
240228,A4,Rothia 3,No treatment,1,16,0.11
240228,A4,Rothia 3,No treatment,1,16.5,0.111
240228,A4,Rothia 3,No treatment,1,17,0.112
240228,A4,Rothia 3,No treatment,1,17.5,0.114
240228,A4,Rothia 3,No treatment,1,18,0.115
240228,A4,Rothia 3,No treatment,1,18.5,0.117
240228,A4,Rothia 3,No treatment,1,19,0.118
240228,A4,Rothia 3,No treatment,1,19.5,0.12
240228,A4,Rothia 3,No treatment,1,20,0.121
240228,A4,Rothia 3,No treatment,1,20.5,0.122
240228,A4,Rothia 3,No treatment,1,21,0.124
240228,A4,Rothia 3,No treatment,1,21.5,0.125
240228,A4,Rothia 3,No treatment,1,22,0.125
240228,A4,Rothia 3,No treatment,1,22.5,0.126
240228,A4,Rothia 3,No treatment,1,23,0.128
240228,A4,Rothia 3,No treatment,1,23.5,0.129
240228,A4,Rothia 3,No treatment,1,24,0.13
240228,A5,Rothia 3,No treatment,2,0,0
240228,A5,Rothia 3,No treatment,2,0.5,0.002
240228,A5,Rothia 3,No treatment,2,1,0.008
240228,A5,Rothia 3,No treatment,2,1.5,0.014
240228,A5,Rothia 3,No treatment,2,2,0.02
240228,A5,Rothia 3,No treatment,2,2.5,0.027
240228,A5,Rothia 3,No treatment,2,3,0.033
240228,A5,Rothia 3,No treatment,2,3.5,0.039
240228,A5,Rothia 3,No treatment,2,4,0.044
240228,A5,Rothia 3,No treatment,2,4.5,0.048
240228,A5,Rothia 3,No treatment,2,5,0.052
240228,A5,Rothia 3,No treatment,2,5.5,0.056
240228,A5,Rothia 3,No treatment,2,6,0.059
240228,A5,Rothia 3,No treatment,2,6.5,0.06
240228,A5,Rothia 3,No treatment,2,7,0.067
240228,A5,Rothia 3,No treatment,2,7.5,0.073
240228,A5,Rothia 3,No treatment,2,8,0.078
240228,A5,Rothia 3,No treatment,2,8.5,0.082
240228,A5,Rothia 3,No treatment,2,9,0.086
240228,A5,Rothia 3,No treatment,2,9.5,0.089
240228,A5,Rothia 3,No treatment,2,10,0.092
240228,A5,Rothia 3,No treatment,2,10.5,0.096
240228,A5,Rothia 3,No treatment,2,11,0.098
240228,A5,Rothia 3,No treatment,2,11.5,0.101
240228,A5,Rothia 3,No treatment,2,12,0.104
240228,A5,Rothia 3,No treatment,2,12.5,0.106
240228,A5,Rothia 3,No treatment,2,13,0.108
240228,A5,Rothia 3,No treatment,2,13.5,0.11
240228,A5,Rothia 3,No treatment,2,14,0.112
240228,A5,Rothia 3,No treatment,2,14.5,0.113
240228,A5,Rothia 3,No treatment,2,15,0.115
240228,A5,Rothia 3,No treatment,2,15.5,0.117
240228,A5,Rothia 3,No treatment,2,16,0.119
240228,A5,Rothia 3,No treatment,2,16.5,0.121
240228,A5,Rothia 3,No treatment,2,17,0.122
240228,A5,Rothia 3,No treatment,2,17.5,0.124
240228,A5,Rothia 3,No treatment,2,18,0.125
240228,A5,Rothia 3,No treatment,2,18.5,0.146
240228,A5,Rothia 3,No treatment,2,19,0.14
240228,A5,Rothia 3,No treatment,2,19.5,0.131
240228,A5,Rothia 3,No treatment,2,20,0.133
240228,A5,Rothia 3,No treatment,2,20.5,0.134
240228,A5,Rothia 3,No treatment,2,21,0.137
240228,A5,Rothia 3,No treatment,2,21.5,0.137
240228,A5,Rothia 3,No treatment,2,22,0.139
240228,A5,Rothia 3,No treatment,2,22.5,0.14
240228,A5,Rothia 3,No treatment,2,23,0.141
240228,A5,Rothia 3,No treatment,2,23.5,0.143
240228,A5,Rothia 3,No treatment,2,24,0.143
240228,A6,Rothia 3,No treatment,3,0,0
240228,A6,Rothia 3,No treatment,3,0.5,0.003
240228,A6,Rothia 3,No treatment,3,1,0.009
240228,A6,Rothia 3,No treatment,3,1.5,0.013
240228,A6,Rothia 3,No treatment,3,2,0.022
240228,A6,Rothia 3,No treatment,3,2.5,0.028
240228,A6,Rothia 3,No treatment,3,3,0.032
240228,A6,Rothia 3,No treatment,3,3.5,0.037
240228,A6,Rothia 3,No treatment,3,4,0.044
240228,A6,Rothia 3,No treatment,3,4.5,0.048
240228,A6,Rothia 3,No treatment,3,5,0.051
240228,A6,Rothia 3,No treatment,3,5.5,0.053
240228,A6,Rothia 3,No treatment,3,6,0.061
240228,A6,Rothia 3,No treatment,3,6.5,0.061
240228,A6,Rothia 3,No treatment,3,7,0.064
240228,A6,Rothia 3,No treatment,3,7.5,0.073
240228,A6,Rothia 3,No treatment,3,8,0.076
240228,A6,Rothia 3,No treatment,3,8.5,0.08
240228,A6,Rothia 3,No treatment,3,9,0.084
240228,A6,Rothia 3,No treatment,3,9.5,0.085
240228,A6,Rothia 3,No treatment,3,10,0.09
240228,A6,Rothia 3,No treatment,3,10.5,0.093
240228,A6,Rothia 3,No treatment,3,11,0.093
240228,A6,Rothia 3,No treatment,3,11.5,0.096
240228,A6,Rothia 3,No treatment,3,12,0.098
240228,A6,Rothia 3,No treatment,3,12.5,0.1
240228,A6,Rothia 3,No treatment,3,13,0.103
240228,A6,Rothia 3,No treatment,3,13.5,0.105
240228,A6,Rothia 3,No treatment,3,14,0.106
240228,A6,Rothia 3,No treatment,3,14.5,0.108
240228,A6,Rothia 3,No treatment,3,15,0.108
240228,A6,Rothia 3,No treatment,3,15.5,0.11
240228,A6,Rothia 3,No treatment,3,16,0.112
240228,A6,Rothia 3,No treatment,3,16.5,0.114
240228,A6,Rothia 3,No treatment,3,17,0.116
240228,A6,Rothia 3,No treatment,3,17.5,0.117
240228,A6,Rothia 3,No treatment,3,18,0.117
240228,A6,Rothia 3,No treatment,3,18.5,0.119
240228,A6,Rothia 3,No treatment,3,19,0.12
240228,A6,Rothia 3,No treatment,3,19.5,0.122
240228,A6,Rothia 3,No treatment,3,20,0.124
240228,A6,Rothia 3,No treatment,3,20.5,0.125
240228,A6,Rothia 3,No treatment,3,21,0.128
240228,A6,Rothia 3,No treatment,3,21.5,0.129
240228,A6,Rothia 3,No treatment,3,22,0.13
240228,A6,Rothia 3,No treatment,3,22.5,0.131
240228,A6,Rothia 3,No treatment,3,23,0.132
240228,A6,Rothia 3,No treatment,3,23.5,0.133
240228,A6,Rothia 3,No treatment,3,24,0.134
240228,A7,Rothia 3,No treatment,4,0,0
240228,A7,Rothia 3,No treatment,4,0.5,0.001
240228,A7,Rothia 3,No treatment,4,1,0.006
240228,A7,Rothia 3,No treatment,4,1.5,0.011
240228,A7,Rothia 3,No treatment,4,2,0.017
240228,A7,Rothia 3,No treatment,4,2.5,0.023
240228,A7,Rothia 3,No treatment,4,3,0.03
240228,A7,Rothia 3,No treatment,4,3.5,0.035
240228,A7,Rothia 3,No treatment,4,4,0.04
240228,A7,Rothia 3,No treatment,4,4.5,0.044
240228,A7,Rothia 3,No treatment,4,5,0.048
240228,A7,Rothia 3,No treatment,4,5.5,0.052
240228,A7,Rothia 3,No treatment,4,6,0.056
240228,A7,Rothia 3,No treatment,4,6.5,0.059
240228,A7,Rothia 3,No treatment,4,7,0.064
240228,A7,Rothia 3,No treatment,4,7.5,0.069
240228,A7,Rothia 3,No treatment,4,8,0.075
240228,A7,Rothia 3,No treatment,4,8.5,0.079
240228,A7,Rothia 3,No treatment,4,9,0.083
240228,A7,Rothia 3,No treatment,4,9.5,0.086
240228,A7,Rothia 3,No treatment,4,10,0.089
240228,A7,Rothia 3,No treatment,4,10.5,0.091
240228,A7,Rothia 3,No treatment,4,11,0.093
240228,A7,Rothia 3,No treatment,4,11.5,0.096
240228,A7,Rothia 3,No treatment,4,12,0.099
240228,A7,Rothia 3,No treatment,4,12.5,0.101
240228,A7,Rothia 3,No treatment,4,13,0.103
240228,A7,Rothia 3,No treatment,4,13.5,0.105
240228,A7,Rothia 3,No treatment,4,14,0.107
240228,A7,Rothia 3,No treatment,4,14.5,0.109
240228,A7,Rothia 3,No treatment,4,15,0.11
240228,A7,Rothia 3,No treatment,4,15.5,0.112
240228,A7,Rothia 3,No treatment,4,16,0.113
240228,A7,Rothia 3,No treatment,4,16.5,0.115
240228,A7,Rothia 3,No treatment,4,17,0.116
240228,A7,Rothia 3,No treatment,4,17.5,0.118
240228,A7,Rothia 3,No treatment,4,18,0.119
240228,A7,Rothia 3,No treatment,4,18.5,0.122
240228,A7,Rothia 3,No treatment,4,19,0.123
240228,A7,Rothia 3,No treatment,4,19.5,0.125
240228,A7,Rothia 3,No treatment,4,20,0.126
240228,A7,Rothia 3,No treatment,4,20.5,0.128
240228,A7,Rothia 3,No treatment,4,21,0.13
240228,A7,Rothia 3,No treatment,4,21.5,0.131
240228,A7,Rothia 3,No treatment,4,22,0.131
240228,A7,Rothia 3,No treatment,4,22.5,0.132
240228,A7,Rothia 3,No treatment,4,23,0.133
240228,A7,Rothia 3,No treatment,4,23.5,0.134
240228,A7,Rothia 3,No treatment,4,24,0.137
240228,B4,Rothia 3,pHMOs,1,0,0
240228,B4,Rothia 3,pHMOs,1,0.5,0
240228,B4,Rothia 3,pHMOs,1,1,0.003
240228,B4,Rothia 3,pHMOs,1,1.5,0.008
240228,B4,Rothia 3,pHMOs,1,2,0.015
240228,B4,Rothia 3,pHMOs,1,2.5,0.026
240228,B4,Rothia 3,pHMOs,1,3,0.037
240228,B4,Rothia 3,pHMOs,1,3.5,0.045
240228,B4,Rothia 3,pHMOs,1,4,0.051
240228,B4,Rothia 3,pHMOs,1,4.5,0.061
240228,B4,Rothia 3,pHMOs,1,5,0.066
240228,B4,Rothia 3,pHMOs,1,5.5,0.07
240228,B4,Rothia 3,pHMOs,1,6,0.075
240228,B4,Rothia 3,pHMOs,1,6.5,0.078
240228,B4,Rothia 3,pHMOs,1,7,0.082
240228,B4,Rothia 3,pHMOs,1,7.5,0.085
240228,B4,Rothia 3,pHMOs,1,8,0.09
240228,B4,Rothia 3,pHMOs,1,8.5,0.092
240228,B4,Rothia 3,pHMOs,1,9,0.096
240228,B4,Rothia 3,pHMOs,1,9.5,0.1
240228,B4,Rothia 3,pHMOs,1,10,0.103
240228,B4,Rothia 3,pHMOs,1,10.5,0.107
240228,B4,Rothia 3,pHMOs,1,11,0.108
240228,B4,Rothia 3,pHMOs,1,11.5,0.111
240228,B4,Rothia 3,pHMOs,1,12,0.113
240228,B4,Rothia 3,pHMOs,1,12.5,0.116
240228,B4,Rothia 3,pHMOs,1,13,0.118
240228,B4,Rothia 3,pHMOs,1,13.5,0.12
240228,B4,Rothia 3,pHMOs,1,14,0.122
240228,B4,Rothia 3,pHMOs,1,14.5,0.124
240228,B4,Rothia 3,pHMOs,1,15,0.125
240228,B4,Rothia 3,pHMOs,1,15.5,0.128
240228,B4,Rothia 3,pHMOs,1,16,0.13
240228,B4,Rothia 3,pHMOs,1,16.5,0.132
240228,B4,Rothia 3,pHMOs,1,17,0.133
240228,B4,Rothia 3,pHMOs,1,17.5,0.135
240228,B4,Rothia 3,pHMOs,1,18,0.136
