Assay,Well,Strain,Treatment,Replicate,Time,OD
240214,A6,Rothia 1,No treatment,3,2,0.016
240214,A6,Rothia 1,No treatment,3,2.5,0.023
240214,A6,Rothia 1,No treatment,3,3,0.03
240214,A6,Rothia 1,No treatment,3,3.5,0.037
240214,A6,Rothia 1,No treatment,3,4,0.042
240214,A6,Rothia 1,No treatment,3,4.5,0.046
240214,A6,Rothia 1,No treatment,3,5,0.05
240214,A6,Rothia 1,No treatment,3,5.5,0.054
240214,A6,Rothia 1,No treatment,3,6,0.055
240214,A6,Rothia 1,No treatment,3,6.5,0.061
240214,A6,Rothia 1,No treatment,3,7,0.069
240214,A6,Rothia 1,No treatment,3,7.5,0.076
240214,A6,Rothia 1,No treatment,3,8,0.08
240214,A6,Rothia 1,No treatment,3,8.5,0.084
240214,A6,Rothia 1,No treatment,3,9,0.087
240214,A6,Rothia 1,No treatment,3,9.5,0.089
240214,A6,Rothia 1,No treatment,3,10,0.093
240214,A6,Rothia 1,No treatment,3,10.5,0.095
240214,A6,Rothia 1,No treatment,3,11,0.099
240214,A6,Rothia 1,No treatment,3,11.5,0.103
240214,A6,Rothia 1,No treatment,3,12,0.107
240214,A6,Rothia 1,No treatment,3,12.5,0.113
240214,A6,Rothia 1,No treatment,3,13,0.119
240214,A6,Rothia 1,No treatment,3,13.5,0.125
240214,A6,Rothia 1,No treatment,3,14,0.13
240214,A6,Rothia 1,No treatment,3,14.5,0.134
240214,A6,Rothia 1,No treatment,3,15,0.137
240214,A6,Rothia 1,No treatment,3,15.5,0.14
240214,A6,Rothia 1,No treatment,3,16,0.143
240214,A6,Rothia 1,No treatment,3,16.5,0.145
240214,A6,Rothia 1,No treatment,3,17,0.146
240214,A6,Rothia 1,No treatment,3,17.5,0.148
240214,A6,Rothia 1,No treatment,3,18,0.149
240214,A6,Rothia 1,No treatment,3,18.5,0.151
240214,A6,Rothia 1,No treatment,3,19,0.152
240214,A6,Rothia 1,No treatment,3,19.5,0.153
240214,A6,Rothia 1,No treatment,3,20,0.155
