"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"14HM311.M",1,3.13,0.17,9547.8,382.6,437.1,551.3,305.3,929.7,527.6,2271,613.1,48.4,38.8,470.4,134.4,14.2,520.4,14.8,224.4,80.6,518.7,17630.8,4229.7,14286.5
"14HM312.M",1,4.27,0.23,7067.3,316,391,728.3,420.2,324.8,1203.1,1619.4,912.5,58.9,169.5,96.4,1558.6,31.1,591.8,49.7,84.2,136.3,78.9,15837.9,2932.8,14286.1
"14HM313.M",0,5.88,0.31,17.2,351.3,124.3,508.9,23.5,411.4,400.4,98,2708.5,59.7,110.1,46.1,1614.3,59.2,417.6,87.9,55.9,796.9,391.5,8282.8,4288.6,7506.9
"14HM314.M",1,3.93,0.21,7250.6,499.7,187.2,2031.2,669,56.9,585.8,298.3,1588.5,51.3,44.9,21,2040.6,57,316.2,4.5,7.3,206.4,32.8,15949.3,3264.8,15333
"14HM315.M",1,2.86,0.15,10174.6,268.3,458.8,707.4,466.8,53.9,949.6,1668.2,889.1,46.8,125.8,34,1386.5,26.3,377.3,25.4,44.8,112.3,12.6,17828.8,1925.7,16981.1
"14HM316.M",1,3.65,0.19,8124.4,346.6,450.7,1448.8,613.4,60.5,643.6,782.3,1659.2,55.8,49.9,48.4,1293.6,62,222.7,53.9,38.2,525.4,28.2,16507.7,3160.3,15438
"14HM317.M",1,7.06,0.37,3834.2,78.1,1016.1,218.6,223.8,555.4,2987.3,1949.1,1222.9,69.7,224.3,277.9,1603.1,56.8,499.9,108.3,117,138.4,169.5,15350.5,2891.8,11288.4
"14HM318.M",1,3.16,0.17,9540,365.8,385.9,1038.5,943.7,762.3,510.9,414.1,1000.7,57.9,45,162.4,1235.2,93.1,219.9,121.5,68.5,329.4,218.5,17513.6,3543.8,16324.4
"14HM319.M",1,6.05,0.32,4949.6,489.5,400.9,1130.1,804.6,231.7,1219.9,333.6,2461.6,160.2,101.5,43.2,1358.3,96,458.4,61.5,16.2,565.2,76.4,14958.5,3706.5,13379.5
"14HM320.M",1,5.29,0.28,5782.1,319.7,638.9,638.4,723.5,105.1,1811.8,661.9,2083.7,89.3,102.8,42.1,1491.7,79.9,460.6,86.2,28.5,340,34.1,15520.3,2557.7,13850.3
"14HM321.M",NA,6.93,0.37,957.1,378.7,397.1,504.2,1513.3,104.1,987.6,232.1,3604.5,122,216.9,9,2164.7,72.1,934.8,40.2,22.3,522.3,35.6,12818.5,3819.5,13257.4
"14HM322.M",1,4.93,0.26,6026,448,373.2,1203.2,882.9,87.6,832.3,440.3,1742.9,65.1,96.5,20.9,1701.5,80.4,641.9,36.4,18.8,370.3,38.4,15106.6,3509.3,14335.4
"14HM323.M",1,6.36,0.34,1336.8,328.3,309.1,138,745.4,160.3,1194.8,378.1,3744.1,69.7,175.5,40.9,1320.7,67.5,429.8,24.5,45.5,995.6,98,11602.6,3561.6,11100.2
"14HM324.M",1,5.81,0.31,5425.9,304.8,771.8,744.1,762.5,102.6,1689.9,975.6,1662.2,93.9,111.7,47.3,1898.2,79.7,660.4,23,20.1,211.6,32.5,15617.5,2814.6,14058.4
"14HM325.M",1,8.24,0.43,2471.3,216,444,421.7,1254.5,136,2521.3,932.1,1926,146.2,182,8.1,2010.9,94.1,1226.5,47.6,21.2,200.1,6.2,14265.8,3613.2,12512.7
"14HM326.M",1,7.26,0.38,4354,515.9,52.1,641.1,609,888.2,985.5,615.6,1430.5,156.3,57.2,202.3,1667.5,236.7,404.4,381,133.8,575.5,319.3,14225.8,4387.2,12849.2
"14HM327.M",1,6.8,0.36,4729.1,337.3,95.5,569.7,547.6,1587.4,1173.9,723,1080.9,89.1,61.3,371.2,1535.4,146.4,298.7,328.7,180.1,391.8,460.7,14707.7,4892,12206
"14HM328.M",NA,7.26,0.38,954.3,347.4,179.3,219.2,1002.2,296.3,2548.6,241.6,3126.9,236.8,237.7,77.4,579.9,223.2,1011.6,150,28,637.6,101,12199,4331,8914.8
"14HM329.M",0,4.79,0.25,26.6,340.1,60.8,103.6,45.4,162.5,1643.1,196,3307.5,150.5,142.7,35.1,791.7,161.1,367.3,106.1,33.9,832.2,76.2,8582.2,2995.3,6700.8
